time,event_type,pair,side,price,size,is_snapshot,trade_id
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16822127.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16842601.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16844751.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16850649.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16850872.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16851220.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16851334.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16852427.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16853721.000000,0.000000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16850890.000000,0.010000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16852038.000000,0.030000,true,
2025-08-03 14:01:14.861648+00,book,btc_jpy,bid,16822123.000000,0.000000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16850890.000000,0.000000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16842822.000000,0.005000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16844685.000000,0.020000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16851322.000000,0.010000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16852039.000000,0.040000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16853705.000000,0.039945,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16852038.000000,0.000000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,ask,16857262.000000,0.000000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16853802.000000,0.000000,true,
2025-08-03 14:01:15.257444+00,book,btc_jpy,bid,16822143.000000,0.002370,true,
2025-08-03 14:01:15.602382+00,book,btc_jpy,bid,16822136.000000,0.000000,true,
2025-08-03 14:01:15.602382+00,book,btc_jpy,ask,16857347.000000,0.030000,true,
2025-08-03 14:01:15.602382+00,book,btc_jpy,ask,16863611.000000,0.000000,true,
2025-08-03 14:01:15.602382+00,book,btc_jpy,bid,16822156.000000,0.002370,true,
2025-08-03 14:01:15.602382+00,book,btc_jpy,bid,16852110.000000,0.030000,true,
